Municipality of residence,People,Average age
19036 Aranzueque,465,42.61
12013 Arañuel,200,55.35
37032 Arapiles,610,45.21
31026 Aras,180,56.33
46041 Aras de los Olmos,420,52.22
09020 Arauzo de Miel,365,51.11
09022 Arauzo de Torre,90,58.54
19037 Arbancón,160,52.25
25029 Arbeca,2440,45.89
31027 Arbizu,1095,41.54
36001 Arbo,3130,50.26
"43016 Arboç, L'",5450,38.18
04017 Arboleas,4535,52.82
43015 Arbolí,115,54.1
17009 Arbúcies,6615,39.79
16905 Arcas,1405,33.5
31028 Arce/Artzi,255,46.92
37033 Arcediano,105,51.84
49010 Arcenillas,410,41.06
30009 Archena,18360,37.92
29016 Árchez,455,48.03
29017 Archidona,8655,41.46
45015 Arcicóllar,780,43.05
40020 Arcones,245,53.84
09023 Arcos,1385,33.15
42025 Arcos de Jalón,1760,46.48
11006 Arcos de la Frontera,31205,37.93
49011 Arcos de la Polvorosa,260,51.11
16022 Arcos de la Sierra,110,57.09
44026 Arcos de las Salinas,105,45.08
"31029 Arcos, Los",1195,49.96
29018 Ardales,2605,41.95
24006 Ardón,610,53.1
48093 Areatza,1225,42.28
31030 Arellano,195,50.62
22035 Arén,340,51.17
"05013 Arenal, El",1025,51.98
13903 Arenales de San Gregorio,705,47.04
29019 Arenas,1340,45.21
39004 Arenas de Iguña,1795,50.59
13018 Arenas de San Juan,1095,41.49
05014 Arenas de San Pedro,6750,44.84
18020 Arenas del Rey,2010,43.97
09024 Arenillas de Riopisuerga,190,49.94
44027 Arens de Lledó,200,50.74
08006 Arenys de Mar,14510,41.97
08007 Arenys de Munt,8370,39.45
26015 Arenzana de Abajo,260,51
15004 Ares,5775,45.91
12014 Ares del Maestrat,210,50.08
31031 Areso,275,42.35
20013 Aretxabaleta,6785,42.07
05015 Arevalillo,105,62.13
05016 Arévalo,8000,40.63
13019 Argamasilla de Alba,7240,40.93
13020 Argamasilla de Calatrava,5980,42.53
28014 Arganda del Rey,53290,35.89
24007 Arganza,850,51.98
49012 Argañín,80,63.87
22036 Argavieso,115,56.16
17010 Argelaguer,415,45.58
12015 Argelita,100,56.38
08008 Argençola,245,46.9
44028 Argente,220,56.4
"43017 Argentera, L'",155,46.68
08009 Argentona,11760,39.77
45016 Argés,5630,34.23
39005 Argoños,1700,41.26
31032 Arguedas,2365,44.85
22037 Arguis,125,49.04
16024 Arguisuelas,150,45.32
49013 Argujillo,325,59.09
07901 Ariany,890,48.63
38005 Arico,7685,42.7
09025 Arija,160,52.05
44029 Ariño,860,45.96
50034 Ariza,1200,46.49
23006 Arjona,5710,40.96
23007 Arjonilla,3785,41.42
09026 Arlanzón,430,50.12
"17011 Armentera, L'",850,43.99
37035 Armenteros,365,45.13
18021 Armilla,22280,36.26
01006 Armiñón,225,41.04
40022 Armuña,240,50.77
04018 Armuña de Almanzora,345,46.81
19041 Armuña de Tajuña,250,37.14
26017 Arnedillo,480,48.07
26018 Arnedo,14400,41.42
43018 Arnes,480,52.05
"32003 Arnoia, A",950,49.29
39006 Arnuero,2120,45.78
21008 Aroche,3250,42.5
38006 Arona,75455,38.8
49014 Arquillinos,135,57.8
23008 Arquillos,1960,40.61
49015 Arrabalde,280,61.47
01037 Arraia-Maeztu,740,44.65
48009 Arrankudiaga,955,42.81
20055 Arrasate/Mondragón,21310,44.64
48914 Arratzu,385,47.28
01008 Arratzua-Ubarrundia,955,42.9
35004 Arrecife,55330,36.29
39007 Arredondo,520,51.19
29020 Arriate,4070,39.85
48010 Arrieta,550,44.3
48011 Arrigorriaga,12475,40.96
13021 Arroba de los Montes,505,52.99
31036 Arróniz,1105,47.97
47010 Arroyo de la Encomienda,15510,33.04
10021 Arroyo de la Luz,6280,45.32
06012 Arroyo de San Serván,4250,39.35
23905 Arroyo del Ojanco,2490,41.45
10023 Arroyomolinos,940,47.34
28015 Arroyomolinos,22135,31.06
10022 Arroyomolinos de la Vera,485,51.41
21009 Arroyomolinos de León,1040,45.72
31037 Arruazu,115,45.64
26019 Arrúbal,485,45.72
07006 Artà,7525,41.46
31038 Artajona,1680,43.43
12016 Artana,1955,44.25
31039 Artazu,120,40.58
48023 Artea,770,43.36
15005 Arteixo,30605,39.69
35005 Artenara,1250,47.82
08010 Artés,5480,40.44
25033 Artesa de Lleida,1510,43.07
25034 Artesa de Segre,3700,42.6
50035 Artieda,90,49.5
48008 Artzentales,720,46.38
01004 Artziniega,1815,40.72
35006 Arucas,36610,39.67
15006 Arzúa,6260,48.79
43019 Ascó,1645,44.99
25036 Aspa,220,49.66
49016 Aspariegos,300,51.87
01009 Asparrena,1680,44.01
03019 Aspe,20130,39.14
20014 Asteasu,1500,38.65
20903 Astigarraga,4900,38.34
"39008 Astillero, El",17805,40.4
24008 Astorga,11280,45.27
34017 Astudillo,980,49.16
49017 Asturianos,280,61.72
29021 Atajate,170,47.07
06013 Atalaya,320,48.61
16026 Atalaya del Cañavate,140,53.36
"37037 Atalaya, La",130,63.27
09029 Atapuerca,210,48.05
47011 Ataquines,660,49.41
18022 Atarfe,16760,36.31
20015 Ataun,1680,43.78
"28016 Atazar, El",105,42.81
50037 Atea,150,58.28
50038 Ateca,2070,45.49
31040 Atez,245,46.16
19044 Atienza,485,44.1
48091 Atxondo,1430,42.67
46003 Atzeneta d'Albaida,1225,44.32
12001 Atzeneta del Maestrat,1345,48.96
48070 Aulesti,670,47.03
19045 Auñón,200,58.86
31058 Auritz/Burguete,280,44.76
26020 Ausejo,945,42.33
"09030 Ausines, Los",155,50.65
34018 Autilla del Pino,245,51.86
34019 Autillo de Campos,145,54.93
26021 Autol,4355,40.09
05017 Aveinte,90,55.21
"25037 Avellanes i Santa Linya, Les",450,51.44
09032 Avellanosa de Muñó,120,54.38
08011 Avià,2260,42.84
05019 Ávila,58710,40.67
33004 Avilés,82540,45.41
08012 Avinyó,2245,42.51
17012 Avinyonet de Puigventós,1505,37.15
08013 Avinyonet del Penedès,1715,41
32004 Avión,2370,56
01010 Ayala/Aiara,2875,40.52
21010 Ayamonte,20420,39.49
31041 Ayegui/Aiegi,1985,36.69
22039 Ayerbe,1115,49.33
40024 Ayllón,1400,44.01
02011 Ayna,785,56.41
12017 Ayódar,210,52.69
49018 Ayoó de Vidriales,365,63.12
46044 Ayora,5440,43.6
31042 Azagra,3840,41.54
44031 Azaila,130,55.55
22040 Azanuy-Alins,175,55.18
22041 Azara,200,50.66
20017 Azkoitia,11335,41.63
22042 Azlor,130,45.69
41012 Aznalcázar,4190,37.63
41013 Aznalcóllar,6105,38.31
26022 Azofra,245,59.99
20018 Azpeitia,14310,41.08
06014 Azuaga,8060,43.84
50039 Azuara,685,48.03
12018 Azuébar,360,49.99
19046 Azuqueca de Henares,34525,34.79
45017 Azután,290,47.16
37038 Babilafuente,935,45.9
04019 Bacares,255,46.8
06015 Badajoz,150685,39.2
