Municipality of residence,People,Average age
22047 Banastás,285,40.72
32006 Bande,1905,56.57
07007 Banyalbufar,555,46.18
03021 Banyeres de Mariola,7225,41.53
43020 Banyeres del Penedès,2990,38.84
17015 Banyoles,18885,38.96
"15007 Baña, A",3970,52.42
26024 Bañares,310,54.37
"24010 Bañeza, La",10560,43.33
37039 Bañobárez,345,53.79
44034 Bañón,160,59.07
01011 Baños de Ebro/Mañueta,315,49.13
23011 Baños de la Encina,2705,42.2
32007 Baños de Molgas,1755,56.17
10024 Baños de Montemayor,780,45.37
26026 Baños de Río Tobía,1665,44.38
26025 Baños de Rioja,90,56.78
09035 Baños de Valdearados,375,52.57
16027 Barajas de Melo,1040,44.78
48013 Barakaldo,99530,44.64
27901 Baralla,2835,53.02
31901 Barañain,21375,40.06
42029 Baraona,175,58.31
31045 Barásoain,645,40.39
32008 Barbadás,9855,39.71
37040 Barbadillo,455,49.38
09038 Barbadillo del Mercado,150,56.58
22048 Barbastro,16935,41.77
11007 Barbate,22875,39.27
25041 Barbens,835,42.74
43021 Barberà de la Conca,520,43.67
08252 Barberà del Vallès,32075,38.51
50043 Bárboles,325,45.61
40025 Barbolla,215,50.04
22049 Barbués,100,47.59
22050 Barbuñales,105,53.88
42030 Barca,120,58.9
22051 Bárcabo,115,58.06
06016 Barcarrota,3675,42.95
08019 Barcelona,1601935,43.78
39009 Bárcena de Cicero,4105,40.73
39010 Bárcena de Pie de Concha,765,48.42
16029 Barchín del Hoyo,90,57.64
47013 Barcial de la Loma,125,54.46
49019 Barcial del Barco,280,52.34
45018 Barcience,750,31.31
"05021 Barco de Ávila, El",2615,43.96
"32009 Barco de Valdeorras, O",14035,42.95
50044 Bardallur,320,49.28
39011 Bareyo,2065,43.55
45019 Bargas,9630,37.85
31047 Bargota,315,55.56
31048 Barillas,190,48.88
24011 Barjas,230,60.08
38007 Barlovento,2065,47.8
"25042 Baronia de Rialb, La",255,51.44
12020 Barracas,200,41.51
44035 Barrachina,140,55.12
"05022 Barraco, El",2070,46.68
10025 Barrado,455,50.06
02015 Barrax,2010,40.49
27005 Barreiros,3135,51.39
48014 Barrika,1415,39.91
"09043 Barrios de Bureba, Los",215,59.7
09044 Barrios de Colina,55,47.57
"24012 Barrios de Luna, Los",315,53.3
"11008 Barrios, Los",22830,36.46
36002 Barro,3715,43.82
05023 Barromán,205,52.16
37044 Barruecopardo,525,51.72
34027 Barruelo de Santullán,1420,52.92
01013 Barrundia,905,43.36
46046 Barx,1155,46.62
46045 Barxeta,1620,43.98
31049 Basaburua,865,46.04
40026 Basardilla,175,35.19
48015 Basauri,41715,46.21
17016 Bàscara,960,43.6
09045 Basconcillos del Tozo,315,52.75
34028 Báscones de Ojeda,165,52.32
43022 Batea,2075,46.83
06017 Baterno,335,49.89
28017 Batres,1535,38
04020 Bayárcal,375,46.98
04021 Bayarque,225,52.4
42032 Bayubas de Abajo,200,59.42
18023 Baza,21225,40.49
31050 Baztan,7830,43.31
32010 Beade,500,50.89
32011 Beariz,1190,55.51
21011 Beas,4320,41.53
18024 Beas de Granada,1035,43.08
18025 Beas de Guadix,380,44.14
23012 Beas de Segura,5730,41.85
20019 Beasain,13715,41.46
05024 Becedas,265,62.21
05025 Becedillas,115,59.37
44037 Beceite,580,47.39
27006 Becerreá,3080,51.79
34029 Becerril de Campos,855,50.29
28018 Becerril de la Sierra,5255,38.32
47015 Becilla de Valderaduey,290,51.89
04022 Bédar,940,52.73
48092 Bedia,975,44.38
23902 Bedmar y Garcíez,3025,42.91
23014 Begíjar,3130,41.09
27007 Begonte,3315,53.26
08020 Begues,6470,37.25
17013 Begur,4110,42.94
31137 Beintza-Labaien,245,49.06
31051 Beire,320,46.98
04023 Beires,115,58.96
20020 Beizama,175,43.13
37046 Béjar,14135,46.42
12022 Bejís,420,51.03
14008 Belalcázar,3465,45.29
31052 Belascoáin,125,42.16
20021 Belauntza,285,43.83
50045 Belchite,1590,44.88
37047 Beleña,140,58.47
46047 Bèlgida,720,43.13
25046 Belianes,560,49.43
16032 Belinchón,330,46.32
25170 Bellaguarda,335,51.07
17018 Bellcaire d'Empordà,650,44.27
25047 Bellcaire d'Urgell,1335,47.77
25048 Bell-lloc d'Urgell,2395,42.31
43023 Bellmunt del Priorat,330,45.94
25049 Bellmunt d'Urgell,195,43.83
44039 Bello,275,57.05
25050 Bellpuig,4895,40.63
46048 Bellreguard,4680,41.13
46049 Bellús,355,45.41
43024 Bellvei,2100,39.02
25051 Bellver de Cerdanya,2240,43.91
25052 Bellvís,2405,44.85
14009 Belmez,3205,46.79
23015 Bélmez de la Moraleda,1750,46.83
16033 Belmonte,2075,46.82
50046 Belmonte de Gracián,240,54.16
33005 Belmonte de Miranda,1725,57.28
44038 Belmonte de San José,125,60.44
28019 Belmonte de Tajo,1560,40.26
16034 Belmontejo,225,56.77
09048 Belorado,2010,46.42
22052 Belver de Cinca,1340,46.77
49020 Belver de los Montes,340,55.96
45020 Belvís de la Jara,1775,50.01
10026 Belvís de Monroy,635,48.53
24014 Bembibre,9760,43.34
22053 Benabarre,1125,45.56
41015 Benacazón,6960,36.47
29022 Benadalid,250,48.68
47016 Benafarces,95,58.42
12024 Benafer,175,47.91
12025 Benafigos,160,56.05
46050 Benagéber,170,52.4
46051 Benaguasil,11120,40.81
04024 Benahadux,4185,36.01
29023 Benahavís,5055,39.81
29024 Benalauría,510,43.28
29025 Benalmádena,61220,39.33
18027 Benalúa,3350,38.38
18028 Benalúa de las Villas,1355,45.76
11901 Benalup-Casas Viejas,7225,37.25
29026 Benamargosa,1565,45.27
18029 Benamaurel,2420,44.12
14010 Benamejí,5070,39.84
29027 Benamocarra,3065,39.55
11009 Benaocaz,735,42.54
29028 Benaoján,1535,41.49
29029 Benarrabá,560,43.73
12026 Benasal,1225,48.78
03022 Benasau,170,54.28
22054 Benasque,2170,38.36
23016 Benatae,550,46.85
25053 Benavent de Segrià,1525,38.3
49021 Benavente,18825,40.98
24015 Benavides,2710,49.36
46052 Benavites,630,44.93
49022 Benegiles,360,50.61
03023 Beneixama,1770,44.38
46053 Beneixida,705,41.67
03024 Benejúzar,5220,40.79
46054 Benetússer,14925,41.34
03025 Benferri,1880,39.16
03026 Beniarbeig,1880,41.95
03027 Beniardá,210,49.02
46055 Beniarjó,1810,40.43
03028 Beniarrés,1250,48.36
12027 Benicarló,26305,40.17
12028 Benicasim/Benicàssim,18155,39.73
46057 Benicolet,555,44.48
46904 Benicull de Xúquer,965,42.94
03030 Benidoleig,1185,49.54
03031 Benidorm,67465,42.15
30010 Beniel,11055,36.52
46060 Benifaió,11965,42.15
46059 Benifairó de la Valldigna,1635,44.45
46058 Benifairó de les Valls,2235,41.94
43025 Benifallet,770,52.26
03032 Benifallim,110,50.89
03033 Benifato,195,49
46061 Beniflá,460,34.9
46062 Benigànim,6295,40.36
03029 Benigembla,520,51.92
03034 Benijófar,3355,46.67
03035 Benilloba,790,51.52
03036 Benillup,110,41.19
03037 Benimantell,485,48.21
03038 Benimarfull,405,51.13
03039 Benimassot,125,51.51
03040 Benimeli,395,49.21
46063 Benimodo,2280,40.62
46064 Benimuslem,675,43.6
46065 Beniparrell,1995,39.16
46066 Benirredrà,1630,39.99
46067 Benisanó,2265,40.1
03041 Benissa,11540,45.72
43026 Benissanet,1225,45.43
46068 Benissoda,415,41.14
46069 Benisuera,190,48.38
"03042 Benitachell/Poble Nou de Benitatxell, el",4540,50.05
04027 Benizalón,290,50.73
12029 Benlloch,1155,44.23
10027 Benquerencia,85,53.53
06018 Benquerencia de la Serena,915,51.69
04028 Bentarique,275,45.1
24016 Benuza,555,55.19
31250 Bera,3730,41.24
48016 Berango,6885,39.74
01014 Berantevilla,480,45.02
22246 Beranuy,100,55.23
20022 Berastegi,1055,40.33
22055 Berbegal,415,50.29
09050 Berberana,70,57.29
31053 Berbinzana,720,47.96
26027 Berceo,170,58.39
47017 Bercero,215,53.37
18030 Bérchules,810,44.55
40028 Bercial,115,57.03
05026 Bercial de Zapardiel,245,57.26
24017 Bercianos del Páramo,665,53.29
24018 Bercianos del Real Camino,195,55.17
08022 Berga,16665,43.22
20074 Bergara,14560,44.45
26028 Bergasa,145,52.56
44040 Berge,255,46.3
15008 Bergondo,6630,47.03
31905 Beriáin,3835,37.43
04029 Berja,15065,38.13
"05027 Berlanas, Las",340,47.42
06019 Berlanga,2480,44.97
42035 Berlanga de Duero,950,51.71
24019 Berlanga del Bierzo,405,52.32
09051 Berlangas de Roa,190,58.06
37049 Bermellar,165,60.8
48017 Bermeo,17015,43.72
49023 Bermillo de Sayago,1175,52.66
40030 Bernardos,595,51.54
01016 Bernedo,565,47.34
40031 Bernuy de Porreros,700,35.45
05029 Bernuy-Zapardiel,140,56.12
48018 Berriatua,1240,42.53
31902 Berrioplano/Berriobeiti,5700,32.54
31903 Berriozar,9325,36.13
48019 Berriz,4860,41.23
20023 Berrobi,570,40.04
21012 Berrocal,345,54.62
37051 Berrocal de Salvatierra,95,49.68
10028 Berrocalejo,135,55.99
47019 Berrueces,105,57.25
"28021 Berrueco, El",595,42.94
31054 Bertizarana,625,42.58
10029 Berzocana,485,53.38
28020 Berzosa del Lozoya,200,41.6
17019 Besalú,2405,43.91
17020 Bescanó,4660,39.62
35007 Betancuria,770,42.66
15009 Betanzos,13305,44.07
31055 Betelu,345,42.59
46070 Bétera,21450,37.55
16035 Beteta,335,51.95
12021 Betxí,5770,41.62
17021 Beuda,165,41.68
03043 Biar,3720,42.25
46071 Bicorp,555,51.45
31253 Bidaurreta,155,42.55
20024 Bidegoian,535,39.6
50901 Biel,165,58.49
22057 Bielsa,500,44.87
02016 Bienservida,705,48.15
06020 Bienvenida,2275,43.31
22058 Bierge,245,49.03
22059 Biescas,1495,45.39
03044 Bigastro,6735,38.48
08023 Bigues i Riells,8805,38.19
50050 Bijuesca,110,56.96
48020 Bilbao,349360,45.14
33006 Bimenes,1870,50.64
22060 Binaced,1510,44.47
22061 Binéfar,9420,42.35
07008 Binissalem,7630,38.82
25055 Biosca,215,53.33
50051 Biota,1080,49.57
"43027 Bisbal de Falset, La",225,50.53
"43028 Bisbal del Penedès, La",3405,41.23
"17022 Bisbal d'Empordà, La",10525,39.58
22063 Biscarrués,225,51.46
50052 Bisimbre,100,61.63
17234 Biure,250,45.33
31056 Biurrun-Olcoz,210,45.68
30011 Blanca,6395,40.66
43029 Blancafort,415,45.96
44042 Blancas,165,54.25
"32012 Blancos, Os",1000,54.89
17023 Blanes,39180,40.59
05033 Blascomillán,195,50.42
05035 Blascosancho,105,55.19
"14011 Blázquez, Los",725,42.97
22064 Blecua y Torres,215,49.36
44043 Blesa,125,61
37052 Boada,310,49.58
17029 Boadella i les Escaules,255,46.12
34035 Boadilla de Rioseco,130,53.85
34034 Boadilla del Camino,115,54.78
28022 Boadilla del Monte,46390,34.63
33007 Boal,1810,54.52
"28023 Boalo, El",6925,36.64
26031 Bobadilla,140,50.03
47020 Bobadilla del Campo,315,50.79
32013 Boborás,2830,55.16
24020 Boca de Huérgano,520,53.39
46072 Bocairent,4435,43.67
40032 Boceguillas,790,36.5
"37054 Bodón, El",310,52.83
06021 Bodonal de la Sierra,1140,45.49
47023 Boecillo,3895,36.2
37055 Bogajo,150,51.04
02017 Bogarra,985,54.18
"05036 Bohodón, El",140,55.67
10030 Bohonal de Ibor,550,60.69
05037 Bohoyo,325,58.91
15010 Boimorto,2170,52.72
15011 Boiro,19090,42.08
"32014 Bola, A",1395,55.41
13023 Bolaños de Calatrava,12105,39.72
47024 Bolaños de Campos,340,50.93
46073 Bolbaite,1460,44.88
41016 Bollullos de la Mitación,9710,35.42
21013 Bollullos Par del Condado,14125,40.36
"32015 Bolo, O",1080,58.38
22066 Boltaña,1050,41.36
03045 Bolulla,410,51.04
17024 Bolvir,405,43.25
22067 Bonansa,100,40.3
21014 Bonares,6165,38.89
43030 Bonastre,635,38.84
02018 Bonete,1225,44.14
16036 Boniches,140,56.25
05038 Bonilla de la Sierra,135,60.01
"02019 Bonillo, El",2980,43.78
46074 Bonrepòs i Mirambell,3460,38.38
24021 Boñar,2060,49.21
15012 Boqueixón,4410,44.85
50053 Boquiñeni,960,46.07
"25057 Bòrdes, Es",235,42.54
17025 Bordils,1715,40.32
44044 Bordón,130,58.86
"29030 Borge, El",1025,43.14
"25058 Borges Blanques, Les",5995,43.17
"43031 Borges del Camp, Les",2095,39.85
50055 Borja,4865,40.3
41017 Bormujos,20155,33.96
11010 Bornos,8105,39.08
42039 Borobia,285,60.59
45021 Borox,3510,38.81
17026 Borrassà,710,41.17
08024 Borredà,565,47.08
12032 Borriana/Burriana,34780,39.3
12031 Borriol,5185,38.93
"11011 Bosque, El",2095,39.51
25059 Bossòst,1100,41.07
43032 Bot,680,52.79
43033 Botarell,1115,38.12
10031 Botija,220,47.99
50056 Botorrita,525,46.46
27008 Bóveda,1590,54.58
"49024 Bóveda de Toro, La",865,50.84
37057 Bóveda del Río Almar,250,50.87
25056 Bovera,315,55.63
43034 Bràfim,670,43.29
47025 Brahojos de Medina,135,57.4
34036 Brañosera,235,54.19
28024 Braojos,200,41.02
09055 Brazacorta,65,53.67
13024 Brazatortas,1100,48.15
24023 Brazuelo,325,50.65
50057 Brea de Aragón,1800,45.31
28025 Brea de Tajo,465,45.31
17027 Breda,3760,43.23
41018 Brenes,12765,37.44
38008 Breña Alta,7165,40.9
38009 Breña Baja,5320,40.16
49025 Bretó,200,61.97
49026 Bretocino,250,56.44
19053 Brihuega,2630,45.45
49027 Brime de Sog,180,62.47
49028 Brime de Urz,130,63.77
37058 Brincones,70,52.56
26033 Briñas,240,42.95
15013 Brión,7375,43.51
26034 Briones,860,48.08
09056 Briviesca,7570,40.43
44045 Bronchales,465,48.31
22069 Broto,515,44.27
10032 Brozas,2045,48.61
"08025 Bruc, El",2010,37.61
"08026 Brull, El",260,40.21
28026 Brunete,9695,35.06
17028 Brunyola,400,46.18
18032 Bubión,345,43.53
19054 Budia,210,52.77
16039 Buenache de Alarcón,590,50.34
37059 Buenamadre,145,51.63
45022 Buenaventura,475,50.48
37060 Buenavista,250,46.63
34037 Buenavista de Valdavia,380,53.34
38010 Buenavista del Norte,4825,44.76
16041 Buendía,445,47.66
44046 Bueña,60,61.3
36004 Bueu,12340,42.85
46075 Bufali,185,49.97
46076 Bugarra,815,49.67
09057 Bugedo,190,42.95
07009 Búger,1015,47.28
28027 Buitrago del Lozoya,1920,39.46
14012 Bujalance,7790,41.42
50059 Bujaraloz,1050,45.68
50060 Bulbuente,235,47.73
30012 Bullas,12245,40.37
09058 Buniel,495,34.48
07010 Bunyola,6270,40.67
46077 Buñol,9800,42.46
31057 Buñuel,2335,45.78
44047 Burbáguena,190,56.18
27902 Burela,9470,40.92
50061 Bureta,275,52.3
49029 Burganes de Valverde,755,49.39
"50062 Burgo de Ebro, El",2355,40.11
42043 Burgo de Osma-Ciudad de Osma,4980,44.18
"24024 Burgo Ranero, El",800,53.08
"29031 Burgo, El",1960,43.59
05041 Burgohondo,1300,50.04
09059 Burgos,177260,42.6
31059 Burgui/Burgi,240,51.78
41019 Burguillos,6415,34.41
45023 Burguillos de Toledo,2795,34.92
06022 Burguillos del Cerro,3235,43.61
46078 Burjassot,37825,40.31
31060 Burlada/Burlata,18040,40.38
24025 Burón,355,51.26
45024 Burujón,1450,42.27
03046 Busot,3125,44.55
18033 Busquístar,330,41.86
19057 Bustares,80,58.67
28028 Bustarviejo,2150,39.53
"50063 Buste, El",80,54.62
34038 Bustillo de la Vega,320,52.9
49030 Bustillo del Oro,95,47.12
24026 Bustillo del Páramo,1415,54.51
34039 Bustillo del Páramo de Carrión,65,62.36
09060 Busto de Bureba,190,61.15
"31061 Busto, El",75,58.56
48021 Busturia,1685,45.59
43035 Cabacés,340,47.5
"37061 Cabaco, El",275,51.35
40034 Caballar,100,49.52
15014 Cabana de Bergantiños,4745,49.63
15015 Cabanas,3250,46.47
17031 Cabanelles,235,47.13
12033 Cabanes,2890,43.48
17030 Cabanes,925,43.41
31062 Cabanillas,1475,45.02
28029 Cabanillas de la Sierra,740,39.74
19058 Cabanillas del Campo,9685,34.52
"08027 Cabanyes, Les",920,38.1
50064 Cabañas de Ebro,540,49.67
45025 Cabañas de la Sagra,1905,37.86
40035 Cabañas de Polendos,185,42.23
49031 Cabañas de Sayago,165,55.87
45026 Cabañas de Yepes,310,46.95
10033 Cabañas del Castillo,470,54.15
24027 Cabañas Raras,1315,48.91
09061 Cabañes de Esgueva,200,56.59
"37063 Cabeza de Béjar, La",95,53.22
06023 Cabeza del Buey,5200,45.48
37065 Cabeza del Caballo,370,58.89
06024 Cabeza la Vaca,1420,46.8
10034 Cabezabellosa,395,56.88
37062 Cabezabellosa de la Calzada,95,54.12
45027 Cabezamesada,475,51.13
13025 Cabezarados,360,50.37
13026 Cabezarrubias del Puerto,550,52.61
05042 Cabezas de Alambre,175,54.2
"41020 Cabezas de San Juan, Las",16600,37.13
05043 Cabezas del Pozo,85,59.28
05044 Cabezas del Villar,315,57.53
21015 Cabezas Rubias,825,45.55
39012 Cabezón de la Sal,8155,40.5
39013 Cabezón de Liébana,705,46.4
47027 Cabezón de Pisuerga,3530,36.95
40036 Cabezuela,705,46.23
10035 Cabezuela del Valle,2370,44.28
05045 Cabizuela,115,48.18
14013 Cabra,20875,41.73
44048 Cabra de Mora,80,45.39
43036 Cabra del Camp,1150,41.26
23017 Cabra del Santo Cristo,2025,43.22
33008 Cabrales,2155,51.43
33009 Cabranes,1075,54.3
31063 Cabredo,110,59.28
42045 Cabrejas del Pinar,410,55.01
08028 Cabrera d'Anoia,1380,39.8
08029 Cabrera de Mar,4520,39.84
"28030 Cabrera, La",2510,38.98
37067 Cabrerizos,4050,36.68
10036 Cabrero,375,51.62
47029 Cabreros del Monte,65,50.81
24028 Cabreros del Río,470,52.14
24029 Cabrillanes,900,50.85
37068 Cabrillas,430,54.12
08030 Cabrils,7095,37.99
39014 Cabuérniga,1035,49.82
24030 Cacabelos,5390,45.01
10037 Cáceres,95005,39.8
10038 Cachorrilla,100,53.88
18034 Cacín,605,47.43
10039 Cadalso,485,53.61
28031 Cadalso de los Vidrios,2825,41.33
17032 Cadaqués,2810,40.52
18035 Cádiar,1610,44.68
11012 Cádiz,123730,43.51
31064 Cadreita,2100,43.56
50066 Cadrete,3295,38.01
18036 Cájar,4650,37.6
21016 Cala,1300,42.73
44049 Calaceite,1095,48.19
08031 Calaf,3495,41.26
43037 Calafell,24335,40.37
26036 Calahorra,24340,40.78
34041 Calahorra de Boedo,115,62.06
"18114 Calahorra, La",765,48.9
44050 Calamocha,4550,42.34
06025 Calamonte,6295,40.3
44051 Calanda,3900,42.78
21017 Calañas,4135,45.42
30013 Calasparra,10575,41.3
50067 Calatayud,20615,41.35
50068 Calatorao,2990,42.91
36005 Caldas de Reis,9935,42.95
22072 Caldearenas,235,50.09
08034 Calders,950,43.32
17033 Caldes de Malavella,6975,40
08033 Caldes de Montbui,17145,40.16
08032 Caldes d'Estrac,2670,42.14
08035 Calella,17955,40.84
06026 Calera de León,1035,43.87
45028 Calera y Chozas,4700,42.47
09064 Caleruega,485,51.61
45029 Caleruela,255,53.63
18037 Calicasas,595,40.45
12034 Càlig,2170,43.33
08037 Calldetenes,2385,39.85
46079 Calles,470,48.43
03049 Callosa de Segura,17860,38.79
03048 Callosa d'en Sarrià,7570,41.16
08038 Callús,1875,39.64
17034 Calonge,10680,41.83
08036 Calonge de Segarra,205,48.53
03047 Calp,23180,44.32
42048 Caltojar,80,63.04
37069 Calvarrasa de Abajo,1150,43.31
37070 Calvarrasa de Arriba,605,44.93
07011 Calvià,49675,39.18
32016 Calvos de Randín,1065,61.32
"37071 Calzada de Béjar, La",100,53.41
13027 Calzada de Calatrava,4380,44.77
37072 Calzada de Don Diego,200,50.1
34042 Calzada de los Molinos,355,48.04
45030 Calzada de Oropesa,530,47.29
37073 Calzada de Valdunciel,655,45.86
24031 Calzada del Coto,255,52.98
10040 Calzadilla,495,50.76
06027 Calzadilla de los Barros,915,43.38
49032 Calzadilla de Tera,385,61.29
39015 Camaleño,1030,48.93
44053 Camañas,130,53.06
25062 Camarasa,930,48.75
45031 Camarena,3750,39.19
44054 Camarena de la Sierra,145,47.83
45032 Camarenilla,565,41.39
39016 Camargo,31445,40.56
44055 Camarillas,115,54.84
15016 Camariñas,6075,46.7
43903 Camarles,3520,42.94
28032 Camarma de Esteruelas,6760,34.73
49033 Camarzana de Tera,885,50.71
41021 Camas,26415,39.84
36006 Cambados,13960,41.78
23018 Cambil,2805,43.3
15017 Cambre,23815,40.77
43038 Cambrils,32940,38.7
10041 Caminomorisco,1220,45.85
44056 Caminreal,715,50.23
17035 Camós,680,46.01
"41022 Campana, La",5485,39.85
06028 Campanario,5210,45.15
07012 Campanet,2535,43.29
47030 Campaspero,1235,50.17
24032 Campazas,145,57.72
17036 Campdevànol,3395,45.16
17037 Campelles,135,45.57
"03050 Campello, el",26370,41.7
01017 Campezo/Kanpezu,1145,46.7
16042 Campillo de Altobuey,1620,46.24
50071 Campillo de Aragón,155,51.89
09065 Campillo de Aranda,180,57.48
23019 Campillo de Arenas,2025,42.23
37074 Campillo de Azaba,190,55.51
10042 Campillo de Deleitosa,65,62.24
19059 Campillo de Dueñas,90,57.72
"45033 Campillo de la Jara, El",450,51.96
06029 Campillo de Llerena,1445,43.73
19060 Campillo de Ranas,190,49.89
"21018 Campillo, El",2175,43.79
"47031 Campillo, El",230,54.04
29032 Campillos,8630,39.9
16043 Campillos-Paravientos,125,48.07
08039 Campins,490,39.63
17038 Campllong,520,36.06
22074 Campo,330,46.97
13028 Campo de Criptana,14530,40.61
"03051 Campo de Mirra/Camp de Mirra, el",430,43.6
"37077 Campo de Peñaranda, El",305,52.65
40039 Campo de San Pedro,345,46.13
24033 Campo de Villavidel,215,64.27
36007 Campo Lameiro,2015,50.55
10043 Campo Lugar,975,48.32
28033 Campo Real,5560,36.37
21019 Campofrío,800,42.36
09066 Campolara,60,60.6
24034 Camponaraya,4200,42.87
39027 Campoo de Enmedio,3805,45.43
39017 Campoo de Yuso,690,49.41
47032 Camporredondo,170,54.3
22075 Camporrélls,160,58.39
46080 Camporrobles,1400,46.67
07013 Campos,9690,41.17
16901 Campos del Paraíso,885,54.57
30014 Campos del Río,2200,40.53
18038 Campotéjar,1355,42.01
17039 Camprodon,2360,45.43
26037 Camprovín,175,55.09
45034 Camuñas,1890,43.7
22076 Canal de Berdún,375,53.55
47033 Canalejas de Peñafiel,285,48.16
16045 Canalejas del Arroyo,285,55.1
46081 Canals,13940,40.83
33010 Candamo,2105,51.26
22077 Candasnos,400,52.73
38011 Candelaria,25930,39.07
37078 Candelario,1000,51.29
05047 Candeleda,5195,45.89
42049 Candilichera,135,58.9
24036 Candín,325,56.45
23020 Canena,2090,43.15
28034 Canencia,470,50.15
17040 Canet d'Adri,620,43.53
08040 Canet de Mar,13780,41.13
46082 Canet d'En Berenguer,5925,40.1
12036 Canet lo Roig,830,52.63
22078 Canfranc,590,41.48
36008 Cangas,26230,41.89
33012 Cangas de Onís,6655,45.71
33011 Cangas del Narcea,14025,47.17
09067 Canicosa de la Sierra,550,51.7
18039 Caniles,4685,44.26
